time [s], X [R], Y [R], Z [R], U_x [km/s], U_y [km/s], U_z [km/s]
0.000000000000000000e+00,-3.187870979309082031e-02,-1.999326609075069427e-02,0.000000000000000000e+00,5.331229112925939262e-05,5.035805952502414584e-05,-8.672553667565807700e-05
2.865431010723114014e-01,-3.187099099159240723e-02,-1.998660713434219360e-02,-1.256169434782350436e-05,5.388093268265947700e-05,4.647805326385423541e-05,-8.767752296989783645e-05
5.730862021446228027e-01,-3.185525909066200256e-02,-1.997366547584533691e-02,-1.283029087062459439e-05,5.393119135987944901e-05,4.220367554808035493e-05,-8.791851723799481988e-05
8.649539351463317871e-01,-3.183956071734428406e-02,-1.996197365224361420e-02,-1.289663578063482419e-05,5.343529846868477762e-05,3.775641016545705497e-05,-8.821229857858270407e-05
1.157353878021240234e+00,-3.182390332221984863e-02,-1.995150186121463776e-02,-1.285995404032291844e-05,5.317905015544965863e-05,3.354578439029864967e-05,-8.755656745051965117e-05
1.451105833053588867e+00,-3.180826827883720398e-02,-1.994231529533863068e-02,-1.271735891350544989e-05,5.344585588318295777e-05,2.910244620579760522e-05,-8.672985859448090196e-05
1.744369506835937500e+00,-3.179254382848739624e-02,-1.993434131145477295e-02,-1.261580928257899359e-05,5.341408541426062584e-05,2.509019941498991102e-05,-8.573522791266441345e-05
2.038666486740112305e+00,-3.177695348858833313e-02,-1.992762647569179535e-02,-1.236285788763780147e-05,5.323240475263446569e-05,2.084372499666642398e-05,-8.456594514427706599e-05
